UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2020', '1', '1', '4', '2020', '1', '1', '0', '158.185482261272'
'2020', '1', '1', '5', '2020', '1', '1', '1', '162.26866466078704'
'2020', '1', '1', '6', '2020', '1', '1', '2', '138.79036586357552'
'2020', '1', '1', '7', '2020', '1', '1', '3', '150.44849973838143'
'2020', '1', '1', '8', '2020', '1', '1', '4', '131.93645255010387'
'2020', '1', '1', '9', '2020', '1', '1', '5', '101.16675661090125'
'2020', '1', '1', '10', '2020', '1', '1', '6', '118.54762454812266'
'2020', '1', '1', '11', '2020', '1', '1', '7', '114.06766862079759'
'2020', '1', '1', '12', '2020', '1', '1', '8', '102.99521466343134'
'2020', '1', '1', '13', '2020', '1', '1', '9', '112.97881998092694'
'2020', '1', '1', '14', '2020', '1', '1', '10', '101.0209286680614'
'2020', '1', '1', '15', '2020', '1', '1', '11', '113.18405930788664'
'2020', '1', '1', '16', '2020', '1', '1', '12', '120.93795559802675'
'2020', '1', '1', '17', '2020', '1', '1', '13', '110.97368576687933'
'2020', '1', '1', '18', '2020', '1', '1', '14', '112.64549896872157'
'2020', '1', '1', '19', '2020', '1', '1', '15', '125.22836717947199'
'2020', '1', '1', '20', '2020', '1', '1', '16', '130.04068929318618'
'2020', '1', '1', '21', '2020', '1', '1', '17', '134.62616794026061'
'2020', '1', '1', '22', '2020', '1', '1', '18', '139.81116146345434'
'2020', '1', '1', '23', '2020', '1', '1', '19', '138.1705971065063'
'2020', '1', '2', '0', '2020', '1', '1', '20', '127.56161426490917'
'2020', '1', '2', '1', '2020', '1', '1', '21', '130.52192150455758'
'2020', '1', '2', '2', '2020', '1', '1', '22', '133.9598152570064'
'2020', '1', '2', '3', '2020', '1', '1', '23', '136.01963494961893'
'2020', '1', '2', '4', '2020', '1', '2', '0', '145.09462000788173'
'2020', '1', '2', '5', '2020', '1', '2', '1', '143.03760469878537'
'2020', '1', '2', '6', '2020', '1', '2', '2', '140.97778500617287'
'2020', '1', '2', '7', '2020', '1', '2', '3', '143.31103209161003'
'2020', '1', '2', '8', '2020', '1', '2', '4', '128.43658192194812'
'2020', '1', '2', '9', '2020', '1', '2', '5', '125.228367179472'
'2020', '1', '2', '10', '2020', '1', '2', '6', '140.69553737486999'
'2020', '1', '2', '11', '2020', '1', '2', '7', '163.107175332116'
'2020', '1', '2', '12', '2020', '1', '2', '8', '167.37264266018082'
'2020', '1', '2', '13', '2020', '1', '2', '9', '162.41449260362685'
'2020', '1', '2', '14', '2020', '1', '2', '10', '153.37316014755783'
'2020', '1', '2', '15', '2020', '1', '2', '11', '163.062616794026'
'2020', '1', '2', '16', '2020', '1', '2', '12', '170.15663065985015'
'2020', '1', '2', '17', '2020', '1', '2', '13', '169.58436645991813'
'2020', '1', '2', '18', '2020', '1', '2', '14', '154.5397836902764'
'2020', '1', '2', '19', '2020', '1', '2', '15', '140.68612912049326'
'2020', '1', '2', '20', '2020', '1', '2', '16', '129.89486135034633'
'2020', '1', '2', '21', '2020', '1', '2', '17', '101.0209286680614'
'2020', '1', '2', '22', '2020', '1', '2', '18', '110.36926731958272'
'2020', '1', '2', '23', '2020', '1', '2', '19', '95.82415106867865'
'2020', '1', '3', '0', '2020', '1', '2', '20', '96.51708874112384'
'2020', '1', '3', '1', '2020', '1', '2', '21', '80.31336078480655'
'2020', '1', '3', '2', '2020', '1', '2', '22', '53.48101930227915'
'2020', '1', '3', '3', '2020', '1', '2', '23', '44.812358255689695'
'2020', '1', '3', '4', '2020', '1', '3', '0', '15.565754163925192'
'2020', '1', '3', '5', '2020', '1', '3', '1', '13.232507078488027'
'2020', '1', '3', '6', '2020', '1', '3', '2', '14.39913062120661'
'2020', '1', '3', '7', '2020', '1', '3', '3', '14.37261644978122'
'2020', '1', '3', '8', '2020', '1', '3', '4', '10.190952842114607'
'2020', '1', '3', '9', '2020', '1', '3', '5', '16.630298146655925'
'2020', '1', '3', '10', '2020', '1', '3', '6', '10.899259993050862'
'2020', '1', '3', '11', '2020', '1', '3', '7', '6.8160775935358515'
'2020', '1', '3', '12', '2020', '1', '3', '8', '3.899518736739367'
'2020', '1', '3', '13', '2020', '1', '3', '9', '0.0'
'2020', '1', '3', '14', '2020', '1', '3', '10', '0.39964810858361943'
'2020', '1', '3', '15', '2020', '1', '3', '11', '4.310488393833432'
'2020', '1', '3', '16', '2020', '1', '3', '12', '15.176879649685693'
